,2017-11-06 00:00:00,2017-11-13 00:00:00,2017-11-20 00:00:00,2017-11-27 00:00:00,2017-12-04 00:00:00,2017-12-11 00:00:00,2017-12-18 00:00:00,2017-12-25 00:00:00,2018-01-01 00:00:00,2018-01-08 00:00:00,2018-01-15 00:00:00,2018-01-22 00:00:00,2018-01-29 00:00:00,2018-02-05 00:00:00,2018-02-12 00:00:00,2018-02-19 00:00:00,2018-02-26 00:00:00,2018-03-05 00:00:00,2018-03-12 00:00:00,2018-03-19 00:00:00,2018-03-26 00:00:00,2018-04-02 00:00:00,2018-04-09 00:00:00,2018-04-16 00:00:00,2018-04-23 00:00:00,2018-04-30 00:00:00,total
cf,24.0,23,22.0,22.0,21.0,21.0,21.0,21.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,12.0,13.0,13.0,10.0,10.0,7.0,7.0,3.0,27
eth,17.0,14,14.0,14.0,14.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,13.0,13.0,10.0,27
pbhs,15.0,15,15.0,12.0,8.0,8.0,8.0,8.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,3.0,7.0,7.0,7.0,7.0,11.0,11.0,11.0,11.0,11.0,12.0,27
cpt,14.0,14,15.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,9.0,9.0,4.0,9.0,12.0,12.0,12.0,12.0,13.0,27
lorentzviolating,11.0,11,11.0,8.0,7.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,11.0,12.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,27
isocurvature,10.0,10,8.0,9.0,9.0,9.0,8.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0,7.0,8.0,8.0,8.0,8.0,10.0,10.0,10.0,17.0,17.0,27
nongaussian,10.0,11,11.0,11.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,17.0,16.0,15.0,17.0,17.0,27
argyresdouglas,17.0,17,17.0,21.0,21.0,19.0,17.0,17.0,17.0,17.0,16.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,13.0,13.0,12.0,12.0,12.0,13.0,12.0,12.0,27
chromodynamics,12.0,13,13.0,13.0,10.0,11.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,15.0,14.0,13.0,13.0,12.0,13.0,13.0,14.0,14.0,15.0,14.0,14.0,14.0,27
proca,14.0,13,12.0,11.0,11.0,11.0,9.0,7.0,7.0,10.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,14.0,14.0,16.0,16.0,16.0,14.0,14.0,27
dbi,10.0,10,9.0,8.0,6.0,9.0,9.0,10.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,14.0,14.0,18.0,18.0,20.0,21.0,21.0,17.0,17.0,17.0,17.0,27
twoform,16.0,15,15.0,15.0,15.0,13.0,15.0,14.0,14.0,14.0,13.0,13.0,10.0,10.0,9.0,10.0,10.0,12.0,11.0,10.0,11.0,11.0,10.0,10.0,9.0,9.0,27
ee,20.0,20,20.0,15.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,15.0,16.0,11.0,11.0,11.0,6.0,6.0,6.0,6.0,6.0,6.0,27
microstate,14.0,14,14.0,15.0,16.0,18.0,18.0,18.0,17.0,16.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,17.0,12.0,9.0,9.0,9.0,10.0,10.0,12.0,11.0,26
spt,14.0,12,9.0,8.0,10.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,13.0,13.0,14.0,13.0,10.0,10.0,12.0,26
bosonization,10.0,9,10.0,10.0,10.0,10.0,11.0,13.0,14.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,13.0,13.0,14.0,15.0,17.0,18.0,26
onepoint,9.0,7,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,14.0,14.0,15.0,17.0,16.0,16.0,16.0,16.0,18.0,26
selfinteraction,13.0,13,11.0,12.0,12.0,11.0,11.0,11.0,11.0,13.0,14.0,14.0,13.0,13.0,13.0,12.0,14.0,13.0,13.0,13.0,14.0,12.0,11.0,12.0,11.0,13.0,26
selfconsistent,13.0,13,10.0,10.0,10.0,11.0,11.0,12.0,13.0,13.0,11.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,12.0,13.0,13.0,12.0,13.0,13.0,14.0,26
timescale,17.0,16,15.0,15.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,8.0,9.0,9.0,9.0,9.0,13.0,13.0,14.0,14.0,14.0,10.0,9.0,8.0,8.0,9.0,26
waals,19.0,20,17.0,17.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,16.0,17.0,17.0,14.0,14.0,14.0,11.0,10.0,10.0,10.0,10.0,11.0,12.0,7.0,26
thematrix,7.0,9,10.0,16.0,17.0,17.0,16.0,16.0,17.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,17.0,17.0,16.0,16.0,18.0,18.0,18.0,26
hepth,15.0,14,14.0,14.0,13.0,13.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,4.0,5.0,6.0,7.0,4.0,7.0,11.0,11.0,11.0,26
holonomy,14.0,12,12.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,11.0,10.0,14.0,15.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,26
wald,9.0,10,9.0,9.0,9.0,9.0,9.0,11.0,12.0,12.0,12.0,12.0,15.0,15.0,16.0,15.0,15.0,15.0,18.0,16.0,17.0,18.0,17.0,17.0,16.0,16.0,26
gromovwitten,16.0,16,16.0,15.0,15.0,16.0,16.0,16.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,26
goldstino,17.0,17,16.0,12.0,13.0,13.0,11.0,11.0,12.0,12.0,12.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,10.0,9.0,9.0,9.0,26
threeform,15.0,15,14.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,7.0,8.0,8.0,10.0,12.0,11.0,12.0,14.0,9.0,9.0,9.0,10.0,25
wheelerdewitt,8.0,8,8.0,6.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,14.0,14.0,14.0,14.0,15.0,15.0,16.0,16.0,25
eigenstate,16.0,14,14.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,13.0,14.0,13.0,14.0,12.0,12.0,12.0,12.0,11.0,11.0,8.0,10.0,9.0,25
yangian,7.0,10,10.0,13.0,13.0,13.0,18.0,18.0,18.0,18.0,16.0,16.0,16.0,14.0,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,18.0,25
nonperturbatively,13.0,15,15.0,14.0,14.0,14.0,15.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,9.0,9.0,10.0,11.0,12.0,12.0,25
cp,17.0,17,16.0,16.0,15.0,16.0,16.0,16.0,18.0,17.0,17.0,16.0,17.0,13.0,13.0,13.0,13.0,12.0,12.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,25
sinegordon,12.0,12,11.0,11.0,9.0,9.0,10.0,10.0,10.0,11.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,9.0,9.0,11.0,12.0,12.0,12.0,25
oneparameter,17.0,18,17.0,16.0,17.0,17.0,17.0,18.0,17.0,17.0,15.0,15.0,15.0,14.0,14.0,14.0,13.0,12.0,12.0,11.0,10.0,10.0,8.0,8.0,8.0,8.0,25
vev,12.0,12,11.0,11.0,11.0,11.0,12.0,12.0,15.0,15.0,18.0,17.0,13.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,15.0,15.0,14.0,14.0,25
cartan,9.0,9,8.0,8.0,9.0,10.0,10.0,11.0,11.0,13.0,12.0,12.0,13.0,14.0,16.0,18.0,18.0,19.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,25
kerrnewman,15.0,15,14.0,13.0,14.0,14.0,12.0,13.0,13.0,12.0,12.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,25
nonlinearly,12.0,13,12.0,12.0,12.0,14.0,17.0,19.0,17.0,17.0,17.0,15.0,14.0,14.0,14.0,13.0,13.0,14.0,14.0,15.0,16.0,15.0,12.0,12.0,12.0,12.0,25
elevendimensional,13.0,12,12.0,10.0,12.0,13.0,12.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,14.0,18.0,18.0,18.0,18.0,18.0,16.0,15.0,13.0,12.0,25
vasiliev,20.0,20,18.0,18.0,18.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,18.0,18.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,25
palatini,14.0,14,14.0,14.0,14.0,16.0,16.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,10.0,12.0,8.0,8.0,8.0,10.0,24
singlefield,10.0,11,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,9.0,9.0,11.0,12.0,12.0,13.0,14.0,24
schur,11.0,11,11.0,13.0,13.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,12.0,11.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,24
penrose,13.0,13,13.0,12.0,14.0,12.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,10.0,10.0,11.0,12.0,24
codimension,10.0,10,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,16.0,16.0,13.0,14.0,14.0,15.0,16.0,24
selfinteracting,10.0,10,11.0,12.0,13.0,13.0,13.0,13.0,13.0,11.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,10.0,11.0,12.0,13.0,13.0,14.0,16.0,17.0,17.0,24
floquet,14.0,14,14.0,13.0,13.0,14.0,14.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,6.0,10.0,10.0,24
largescale,15.0,15,15.0,15.0,15.0,14.0,15.0,17.0,18.0,16.0,16.0,16.0,14.0,14.0,14.0,14.0,12.0,9.0,7.0,9.0,8.0,7.0,7.0,7.0,9.0,9.0,24
gibbs,11.0,11,12.0,12.0,11.0,12.0,14.0,14.0,14.0,14.0,12.0,13.0,13.0,18.0,18.0,17.0,18.0,18.0,17.0,14.0,14.0,14.0,13.0,15.0,15.0,13.0,24
grossneveu,13.0,16,16.0,16.0,17.0,17.0,17.0,17.0,16.0,17.0,16.0,14.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,16.0,14.0,11.0,24
einsteinmaxwell,12.0,11,11.0,11.0,11.0,13.0,13.0,12.0,13.0,12.0,13.0,12.0,14.0,14.0,15.0,15.0,15.0,14.0,13.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,24
poissonlie,16.0,16,14.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,12.0,11.0,10.0,10.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,6.0,24
infinitedimensional,16.0,16,16.0,16.0,17.0,18.0,18.0,18.0,17.0,16.0,16.0,16.0,13.0,13.0,13.0,11.0,11.0,8.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,24
landauginzburg,14.0,14,14.0,12.0,11.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,24
ng,10.0,10,10.0,8.0,9.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,8.0,7.0,7.0,8.0,8.0,6.0,11.0,14.0,14.0,14.0,14.0,14.0,14.0,24
qnec,14.0,19,19.0,19.0,19.0,14.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,10.0,24
textit,9.0,9,11.0,11.0,11.0,10.0,10.0,17.0,16.0,15.0,15.0,15.0,15.0,20.0,20.0,19.0,19.0,18.0,17.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,24
bessel,4.0,4,5.0,5.0,5.0,3.0,3.0,7.0,6.0,6.0,7.0,10.0,11.0,11.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,17.0,23
nsns,6.0,6,6.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,11.0,13.0,14.0,14.0,17.0,17.0,15.0,17.0,23
modelindependent,13.0,14,14.0,14.0,13.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,23
generalisation,9.0,7,10.0,12.0,11.0,11.0,13.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,12.0,12.0,14.0,14.0,23
pseudoscalar,15.0,15,15.0,13.0,13.0,14.0,15.0,14.0,13.0,14.0,14.0,12.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,9.0,23
biadjoint,11.0,10,10.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,23
nonhermitian,7.0,7,7.0,7.0,7.0,7.0,7.0,16.0,16.0,17.0,17.0,17.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,16.0,15.0,16.0,16.0,23
scaleinvariant,14.0,14,14.0,14.0,11.0,10.0,13.0,13.0,13.0,13.0,12.0,11.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,23
noninteracting,7.0,7,7.0,7.0,7.0,7.0,8.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,11.0,12.0,14.0,14.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,16.0,23
mhv,15.0,15,14.0,15.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,9.0,8.0,8.0,23
fracton,7.0,7,7.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,7.0,7.0,7.0,7.0,16.0,16.0,16.0,16.0,16.0,23
flrw,10.0,10,10.0,10.0,13.0,14.0,14.0,17.0,17.0,18.0,18.0,15.0,16.0,16.0,16.0,15.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,23
bfkl,16.0,16,16.0,16.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,7.0,7.0,8.0,12.0,12.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,23
multifield,10.0,10,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,6.0,6.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,12.0,22
comoving,12.0,13,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,22
superluminal,4.0,3,3.0,5.0,5.0,5.0,5.0,3.0,9.0,10.0,10.0,10.0,11.0,11.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,17.0,17.0,17.0,18.0,22
outoftimeordered,12.0,12,12.0,7.0,7.0,9.0,8.0,8.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,10.0,22
quantisation,8.0,8,8.0,9.0,9.0,9.0,11.0,11.0,13.0,13.0,13.0,13.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,10.0,10.0,9.0,10.0,10.0,11.0,14.0,22
selfenergy,9.0,9,9.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,5.0,12.0,12.0,12.0,13.0,13.0,12.0,11.0,11.0,13.0,22
ddimensional,6.0,6,7.0,7.0,8.0,10.0,13.0,12.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,14.0,14.0,14.0,22
supermultiplet,9.0,10,11.0,11.0,12.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,12.0,12.0,14.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,14.0,22
skyrmion,6.0,6,6.0,7.0,5.0,5.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,13.0,14.0,14.0,14.0,17.0,18.0,15.0,15.0,15.0,16.0,16.0,22
algebroid,7.0,8,8.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,16.0,17.0,16.0,16.0,15.0,15.0,15.0,16.0,15.0,22
sigmamodel,10.0,9,9.0,9.0,10.0,9.0,9.0,9.0,5.0,5.0,5.0,8.0,7.0,8.0,8.0,9.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,12.0,13.0,12.0,22
lightest,15.0,15,15.0,16.0,15.0,16.0,16.0,16.0,15.0,15.0,14.0,12.0,12.0,12.0,11.0,11.0,11.0,10.0,9.0,8.0,11.0,11.0,11.0,10.0,10.0,9.0,22
endpoint,11.0,11,11.0,11.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,13.0,13.0,12.0,12.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,22
nonnegative,16.0,16,16.0,15.0,14.0,13.0,14.0,13.0,12.0,11.0,10.0,8.0,7.0,7.0,7.0,8.0,8.0,6.0,6.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0,22
ultralight,12.0,12,12.0,12.0,13.0,13.0,13.0,11.0,11.0,11.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,4.0,7.0,9.0,10.0,10.0,22
deconfined,14.0,14,14.0,14.0,16.0,15.0,15.0,13.0,13.0,15.0,14.0,14.0,12.0,12.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,22
qfts,11.0,11,10.0,13.0,13.0,8.0,8.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,9.0,12.0,12.0,11.0,11.0,11.0,11.0,22
disformal,8.0,8,8.0,8.0,8.0,8.0,8.0,8.0,16.0,16.0,16.0,16.0,20.0,20.0,20.0,20.0,17.0,17.0,15.0,16.0,16.0,15.0,15.0,15.0,14.0,14.0,22
eikonal,10.0,10,8.0,7.0,5.0,5.0,5.0,5.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,22
hadrons,16.0,16,17.0,16.0,14.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,22
schwingerdyson,10.0,9,9.0,12.0,12.0,12.0,12.0,12.0,13.0,11.0,8.0,8.0,9.0,9.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,21
realised,15.0,15,14.0,12.0,11.0,11.0,13.0,13.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,21
wilsonfisher,9.0,10,8.0,9.0,10.0,12.0,11.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,13.0,21
pointlike,15.0,15,12.0,12.0,12.0,13.0,14.0,14.0,12.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,12.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,21
efolds,13.0,12,12.0,11.0,11.0,11.0,12.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,11.0,11.0,11.0,12.0,9.0,21
finetuning,12.0,12,12.0,12.0,12.0,14.0,12.0,12.0,11.0,12.0,11.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,21
gravitationalwave,11.0,11,11.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,21
lightfront,11.0,12,12.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,10.0,12.0,12.0,13.0,14.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,21
thecdm,7.0,8,8.0,8.0,12.0,12.0,13.0,12.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,16.0,16.0,17.0,17.0,17.0,17.0,21
hyperkahler,12.0,10,10.0,10.0,16.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,11.0,13.0,13.0,12.0,12.0,11.0,9.0,21
starobinsky,12.0,12,13.0,13.0,12.0,12.0,12.0,9.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,12.0,12.0,9.0,9.0,21
greenschwarz,10.0,10,9.0,9.0,9.0,9.0,13.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,16.0,16.0,16.0,16.0,17.0,18.0,17.0,15.0,14.0,13.0,13.0,21
gaugefixing,14.0,14,14.0,16.0,16.0,16.0,14.0,13.0,13.0,14.0,14.0,13.0,11.0,10.0,10.0,11.0,12.0,12.0,12.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,21
sp,13.0,15,14.0,14.0,16.0,20.0,20.0,20.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,21
selfduality,8.0,9,10.0,11.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,12.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,12.0,20
langlands,14.0,14,14.0,14.0,15.0,15.0,15.0,16.0,16.0,13.0,13.0,13.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0,20
supercurrent,9.0,10,10.0,10.0,12.0,13.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,13.0,13.0,13.0,12.0,12.0,12.0,9.0,11.0,20
supermanifold,7.0,7,7.0,8.0,8.0,6.0,5.0,4.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,20
selfinteractions,13.0,12,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,11.0,9.0,9.0,7.0,20
xxz,13.0,13,14.0,11.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,20
supertranslations,12.0,13,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,9.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,20
nambu,3.0,3,3.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,8.0,8.0,10.0,10.0,10.0,11.0,11.0,12.0,12.0,13.0,12.0,20
decoupled,7.0,7,7.0,7.0,6.0,7.0,11.0,12.0,12.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,20
eigenmodes,13.0,13,13.0,13.0,12.0,12.0,13.0,13.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,8.0,8.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,20
nogo,11.0,11,10.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,12.0,9.0,8.0,8.0,8.0,8.0,6.0,6.0,7.0,7.0,9.0,9.0,8.0,20
hodge,8.0,9,8.0,8.0,8.0,11.0,14.0,14.0,15.0,15.0,16.0,14.0,14.0,14.0,13.0,14.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,20
homotopy,3.0,3,3.0,3.0,11.0,13.0,13.0,13.0,14.0,14.0,16.0,15.0,16.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,20
rt,6.0,6,6.0,6.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,16.0,17.0,15.0,14.0,14.0,14.0,14.0,20
bayesian,12.0,12,12.0,14.0,14.0,13.0,11.0,12.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,5.0,9.0,9.0,9.0,9.0,8.0,20
onetoone,10.0,9,9.0,9.0,9.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,20
tqft,14.0,14,10.0,8.0,8.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,10.0,10.0,6.0,6.0,6.0,20
largest,7.0,7,7.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,11.0,13.0,12.0,12.0,12.0,12.0,20
ringdown,10.0,9,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,14.0,14.0,15.0,15.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,20
solitonic,9.0,9,7.0,7.0,8.0,9.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,12.0,12.0,11.0,12.0,14.0,14.0,14.0,14.0,12.0,11.0,10.0,20
